,peakid,det_lat,det_lon,country,triggertime,triggertime_local,pytz,nighttime,signals,actives,felt_reports_green,felt_reports_yellow,felt_reports_red,notification_time,notification_delay_from_detection,intensity_strong,cat,num_eq_matches,origintime,magtype,magnitude,eq_lat,eq_lon,depth,separation,triggerdelay,P_at_surface_delay,offshore,dist_shore,closest_land_lat,closest_land_lon,P_at_coast_delay,P_on_land_surface_delay,triggerdelay_wrt_P,triggerdelay_wrt_S,causal_phase
750,5975084,25.026,121.516,twn,2019-08-07 21:28:24.000000000,2019-08-08 05:28:24+08:00,Asia/Taipei,True,8,10,0,0,0,,,,USGS,1,2019-08-07 21:28:03.651000023,mww,5.8,24.478,121.93,20.79,73.7,20.3,3.6,True,8.9,24.498,121.845,3.9,3.9,7.5,-1.3,P
755,7522857,-33.598,-71.607,chl,2019-08-02 00:55:38.000000000,2019-08-01 20:55:38-04:00,America/Santiago,False,10,46,1499,156,16,2019-08-02 00:56:06.000000,28.0,0,USGS,1,2019-08-02 00:55:16.735000134,mww,5.4,-34.182,-72.196,13.23,84.7,21.3,2.3,True,16.2,-34.178,-72.02,3.6,3.6,6.5,-3.5,P
756,2595407,-33.584,-71.604,chl,2019-08-01 18:28:29.000000000,2019-08-01 14:28:29-04:00,America/Santiago,False,8,16,917,1021,216,2019-08-01 18:29:12.000000,43.0,0,USGS,1,2019-08-01 18:28:07.270000219,mww,6.8,-34.236,-72.31,25.0,97.5,21.7,4.2,True,27.5,-34.178,-72.02,6.3,6.3,5.2,-6.1,P
761,5164404,13.698,-89.238,slv,2019-07-31 05:55:09.000000000,2019-07-30 23:55:09-06:00,America/El_Salvador,True,11,55,54,57,16,,,,USGS,1,2019-07-31 05:54:53.150000095,mww,5.9,13.148,-89.395,43.0,63.3,15.8,6.8,True,38.1,13.489,-89.355,8.9,8.9,4.1,-4.2,P
783,8027721,47.595,-122.16,usa,2019-07-12 09:51:55.000000000,2019-07-12 02:51:55-07:00,America/Los_Angeles,True,8,25,0,0,0,,,0,USGS,1,2019-07-12 09:51:38.339999914,ml,4.6,47.873,-122.016,28.82,32.7,16.7,4.8,False,,,,,4.8,9.4,4.5,S
798,8898527,35.631,-117.709,usa,2019-07-07 05:38:24.000000000,2019-07-06 22:38:24-07:00,America/Los_Angeles,False,8,12,0,0,0,,,0,USGS,3,2019-07-07 05:38:15.480000019,mw,4.5,35.768,-117.578,10.57,19.3,8.5,1.8,False,,,,,1.8,4.7,2.2,P
802,9376524,34.513,-117.274,usa,2019-07-06 08:33:40.000000000,2019-07-06 01:33:40-07:00,America/Los_Angeles,True,12,68,37,3,9,2019-07-06 08:35:18.000000,98.0,0,USGS,1,2019-07-06 08:32:57.550000191,mw,4.6,35.639,-117.491,3.14,126.5,42.4,0.5,False,,,,,0.5,20.6,5.9,S
804,2030216,34.077,-117.571,usa,2019-07-06 03:20:33.000000000,2019-07-05 20:20:33-07:00,America/Los_Angeles,False,10,19,194,99,8,2019-07-06 03:21:28.000000,55.0,0,USGS,1,2019-07-06 03:19:53.039999962,mw,7.1,35.77,-117.599,8.0,187.8,40.0,1.4,False,,,,,1.4,10.2,-11.6,P
815,5763993,-29.917,-71.231,chl,2019-06-28 08:31:00.000000000,2019-06-28 04:31:00-04:00,America/Santiago,True,26,382,130,99,9,2019-06-28 08:31:43.000000,43.0,0,USGS,1,2019-06-28 08:30:42.817999840,mww,5.0,-29.36,-71.024,78.31,64.9,17.2,11.1,False,,,,,11.1,2.8,-7.8,P
819,1256813,8.491,-82.586,pan,2019-06-26 05:24:00.000000000,2019-06-26 00:24:00-05:00,America/Panama,True,8,21,10,45,15,,,,USGS,1,2019-06-26 05:23:51.513999938,mww,6.2,8.461,-82.754,32.58,18.7,8.5,5.4,False,,,,,5.4,2.3,-1.9,P
